               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,             0.02126,            0.085513,          0.00020941,             0.81929,             0.78095,             0.74133,              0.2748,            0.031242,             0.46339,          0.00050717,            0.007195,            0.007195,            0.007195
                  87,            0.021212,            0.084194,          0.00019824,             0.81869,             0.77668,             0.72991,             0.27544,            0.030947,             0.46057,          0.00034962,            0.007162,            0.007162,            0.007162
                  88,            0.021357,             0.08395,          0.00022235,             0.80687,             0.76659,             0.71697,             0.27126,            0.030869,             0.46142,          0.00031587,            0.007129,            0.007129,            0.007129
                  89,            0.021273,             0.08448,          0.00020475,             0.81931,             0.78123,             0.74138,             0.27895,            0.031084,             0.46582,          0.00047406,            0.007096,            0.007096,            0.007096
                  90,            0.020869,            0.084065,           0.0001955,             0.82185,             0.77901,             0.74555,             0.27941,            0.031023,             0.46469,          0.00040418,            0.007063,            0.007063,            0.007063
                  91,            0.021155,            0.084661,          0.00018958,             0.82737,             0.78603,             0.74714,              0.2829,            0.030888,             0.46761,          0.00032408,             0.00703,             0.00703,             0.00703
                  92,            0.020485,            0.082999,          0.00019365,             0.82241,             0.78208,             0.74237,             0.27917,            0.030903,             0.46482,          0.00031326,            0.006997,            0.006997,            0.006997
                  93,             0.02118,            0.083974,          0.00019804,             0.82195,             0.78253,             0.74715,             0.27785,            0.030947,             0.46373,          0.00034934,            0.006964,            0.006964,            0.006964
                  94,            0.020851,            0.083235,          0.00023016,             0.81373,             0.78022,             0.73732,             0.28028,             0.03088,             0.46498,          0.00040921,            0.006931,            0.006931,            0.006931
                  95,            0.020881,            0.083483,          0.00020414,             0.80795,              0.7731,             0.72747,             0.27075,            0.031086,             0.46759,          0.00033075,            0.006898,            0.006898,            0.006898
                  96,            0.020853,            0.083623,          0.00019279,             0.81946,             0.77816,             0.73629,             0.27757,            0.030868,             0.46678,          0.00033065,            0.006865,            0.006865,            0.006865
                  97,            0.020587,             0.08317,          0.00019856,             0.82545,              0.7814,             0.74682,             0.28396,            0.030777,             0.46709,          0.00027029,            0.006832,            0.006832,            0.006832
                  98,            0.020641,            0.083134,          0.00019479,              0.8203,             0.78207,             0.73866,             0.27665,            0.031003,             0.46829,           0.0002509,            0.006799,            0.006799,            0.006799
                  99,            0.020848,            0.082331,          0.00018629,             0.82317,             0.77838,             0.73852,              0.2796,            0.030895,             0.46705,           0.0002936,            0.006766,            0.006766,            0.006766
                 100,            0.020681,            0.082748,          0.00019205,             0.82059,             0.77697,             0.73692,             0.27685,            0.030839,             0.46735,          0.00028624,            0.006733,            0.006733,            0.006733
                 101,            0.020392,             0.08241,          0.00017754,             0.82084,              0.7769,             0.74004,             0.28223,            0.030948,             0.46824,          0.00033036,              0.0067,              0.0067,              0.0067
                 102,            0.020625,            0.083167,          0.00017554,             0.82773,             0.78665,             0.75297,              0.2844,            0.030741,             0.46601,          0.00029921,            0.006667,            0.006667,            0.006667
                 103,            0.020669,            0.083462,          0.00020831,             0.81926,             0.78176,             0.73963,              0.2786,            0.030894,             0.46685,          0.00030279,            0.006634,            0.006634,            0.006634
                 104,            0.020348,            0.082632,          0.00018298,             0.82387,             0.78458,             0.75119,             0.28087,            0.030942,             0.46935,          0.00027385,            0.006601,            0.006601,            0.006601
                 105,            0.020241,            0.081985,          0.00019308,             0.82311,             0.78238,             0.75032,             0.28074,            0.030863,             0.46757,           0.0002546,            0.006568,            0.006568,            0.006568
                 106,            0.020273,            0.082059,          0.00019166,             0.82091,             0.77984,              0.7426,             0.28125,            0.030836,             0.46689,          0.00034549,            0.006535,            0.006535,            0.006535
                 107,            0.020159,            0.082453,           0.0001849,             0.82383,             0.77671,             0.74072,             0.28323,             0.03078,             0.47019,           0.0004014,            0.006502,            0.006502,            0.006502
                 108,            0.020077,            0.082092,          0.00018197,             0.82105,             0.77959,             0.74164,             0.28158,            0.030815,             0.46933,          0.00042221,            0.006469,            0.006469,            0.006469
                 109,            0.020328,            0.082244,           0.0001919,             0.82249,             0.77974,             0.73723,             0.28051,            0.030585,             0.46226,          0.00035249,            0.006436,            0.006436,            0.006436
                 110,            0.020221,             0.08249,           0.0001749,             0.82425,              0.7836,             0.73823,             0.27773,            0.030735,             0.46768,          0.00035441,            0.006403,            0.006403,            0.006403
                 111,            0.020398,            0.081874,          0.00018901,             0.82456,             0.78731,             0.74808,             0.28087,            0.030904,             0.47008,          0.00029901,             0.00637,             0.00637,             0.00637
                 112,             0.02014,            0.081347,          0.00018195,             0.82271,             0.78632,             0.74344,              0.2809,             0.03098,             0.46955,          0.00031766,            0.006337,            0.006337,            0.006337
                 113,            0.020246,            0.081542,          0.00020692,             0.81803,              0.7841,             0.73879,             0.28088,            0.030877,             0.47055,          0.00047395,            0.006304,            0.006304,            0.006304
                 114,            0.020184,            0.081638,          0.00020861,             0.82009,             0.77408,             0.73706,             0.28064,             0.03087,             0.47113,          0.00049491,            0.006271,            0.006271,            0.006271
                 115,            0.019847,            0.080381,          0.00017599,             0.82614,              0.7804,              0.7424,             0.28229,            0.030848,             0.47133,          0.00069823,            0.006238,            0.006238,            0.006238
                 116,            0.019629,            0.081551,          0.00016094,             0.82556,             0.78198,             0.73958,              0.2805,            0.031015,             0.47424,           0.0005703,            0.006205,            0.006205,            0.006205
                 117,            0.020044,            0.080254,          0.00017193,             0.82321,             0.78156,             0.74537,             0.28274,            0.030914,             0.46982,          0.00071033,            0.006172,            0.006172,            0.006172
                 118,             0.01968,            0.081697,          0.00016201,             0.82658,             0.78646,             0.74762,              0.2836,            0.030964,             0.46847,          0.00067829,            0.006139,            0.006139,            0.006139
                 119,             0.02007,            0.079764,          0.00018196,             0.83374,             0.79024,              0.7517,             0.28339,            0.030863,             0.46845,          0.00048933,            0.006106,            0.006106,            0.006106
                 120,            0.020227,            0.081476,          0.00017252,             0.83215,             0.78532,             0.74473,             0.28274,            0.030781,             0.46963,          0.00037913,            0.006073,            0.006073,            0.006073
                 121,            0.019914,             0.08015,          0.00017338,             0.82726,             0.78473,             0.73823,              0.2845,            0.030795,             0.46982,          0.00037847,             0.00604,             0.00604,             0.00604
                 122,            0.019998,            0.080091,          0.00020661,              0.8201,             0.78295,             0.73932,             0.28292,            0.030803,             0.47264,          0.00047363,            0.006007,            0.006007,            0.006007
                 123,            0.019606,              0.0804,          0.00016793,             0.81495,             0.77557,             0.73476,             0.28076,            0.030892,             0.47054,          0.00054708,            0.005974,            0.005974,            0.005974
                 124,            0.019453,            0.080466,          0.00016312,             0.81914,             0.77836,             0.73871,             0.28166,             0.03099,             0.47261,          0.00034059,            0.005941,            0.005941,            0.005941
                 125,            0.019886,            0.080366,          0.00017062,              0.8142,             0.77367,             0.72631,             0.27723,            0.030936,             0.47243,          0.00042794,            0.005908,            0.005908,            0.005908
                 126,            0.019704,            0.080068,          0.00016576,             0.82145,             0.77736,             0.73047,             0.27799,            0.030912,             0.47262,          0.00037336,            0.005875,            0.005875,            0.005875
                 127,            0.019231,            0.080559,          0.00016596,             0.83253,             0.78775,             0.75563,              0.2853,            0.030815,             0.47208,          0.00035413,            0.005842,            0.005842,            0.005842
                 128,            0.019384,            0.079854,          0.00017238,             0.82645,             0.78395,             0.74556,             0.28275,            0.030843,             0.47198,           0.0003006,            0.005809,            0.005809,            0.005809
                 129,            0.019519,            0.080873,          0.00015978,             0.82541,             0.78215,             0.74783,             0.28645,            0.030757,              0.4715,           0.0003114,            0.005776,            0.005776,            0.005776
